CLUSTER_ID,REPAIR_COUNT,IS_MATCHED,MATCH_REASON,MAX_CNT_JNT,MAX_CNT_PIPE_TYPE,MAX_CNT_DISTANCE,AVG_CNT_JNT,NEAREST_CNT_JNT,NEAREST_DISTANCE,NEARBY_PIPE_COUNT,HIGH_CNT_PIPE_COUNT,IS_FREQUENT
0.0,6.0,True,pipes_found,1.0,SPLY_LS,9.171154317733388,1.0,1.0,9.171154317733388,1,0,True
1.0,2.0,True,pipes_found,4.0,PIPE_LM,7.654848706824041,3.2,2.0,7.565971521781311,5,3,False
3.0,3.0,True,pipes_found,3.0,PIPE_LM,7.9764137269841795,2.0,1.0,4.201436038555774,4,1,False
5.0,2.0,True,pipes_found,4.0,PIPE_LM,9.481505519212023,2.375,1.0,6.929913492519256,8,3,False
6.0,4.0,True,pipes_found,4.0,PIPE_LM,8.137444423002481,2.3333333333333335,2.0,7.644003856698677,6,2,True
7.0,2.0,True,pipes_found,4.0,PIPE_LM,7.77339340448949,2.6666666666666665,2.0,7.114428978802451,3,1,False
10.0,2.0,True,pipes_found,2.0,SPLY_LS,9.792021426467112,2.0,2.0,7.387313374453773,2,0,False
11.0,3.0,True,pipes_found,4.0,PIPE_LM,8.13035467493848,2.769230769230769,2.0,4.8820550897144965,13,7,False
12.0,2.0,True,pipes_found,2.0,PIPE_LM,9.5926702856828,2.0,2.0,9.5926702856828,2,0,False
13.0,2.0,True,pipes_found,3.0,PIPE_LM,9.463525884719449,2.5,2.0,6.6907869764584875,8,4,False
14.0,3.0,True,pipes_found,4.0,PIPE_LM,9.167756286760952,2.6666666666666665,2.0,7.6655485398520335,3,1,False
15.0,3.0,True,pipes_found,4.0,PIPE_LM,7.611833087408611,3.090909090909091,3.0,4.363674384437411,11,8,False
16.0,2.0,True,pipes_found,4.0,PIPE_LM,9.540549280272183,3.0,2.0,8.609730846277138,2,1,False
18.0,2.0,True,pipes_found,3.0,PIPE_LM,6.1987435595469895,2.5,3.0,6.1987435595469895,8,5,False
19.0,4.0,True,pipes_found,2.0,SPLY_LS,9.716638696431717,2.0,2.0,9.716638696431717,1,0,True
20.0,8.0,True,pipes_found,3.0,PIPE_LM,8.335499094044753,2.5,2.0,6.01763494965976,2,1,True
21.0,3.0,True,pipes_found,3.0,PIPE_LM,9.467827115273547,2.5,2.0,6.652311210769274,2,1,False
22.0,3.0,True,pipes_found,4.0,PIPE_LM,8.400528957872956,3.2,2.0,5.463825679754471,5,3,False
24.0,2.0,True,pipes_found,4.0,PIPE_LM,7.795449470253785,3.0,3.0,5.928930028630422,8,7,False
26.0,3.0,True,pipes_found,4.0,PIPE_LM,9.7818862646741,2.5714285714285716,2.0,4.389525661796076,7,4,False
27.0,5.0,True,pipes_found,2.0,SPLY_LS,9.062775752463871,2.0,2.0,9.062775752463871,1,0,True
28.0,2.0,True,pipes_found,1.0,SPLY_LS,7.833574632586767,1.0,1.0,7.833574632586767,1,0,False
30.0,2.0,True,pipes_found,4.0,PIPE_LM,9.21291275010823,2.6666666666666665,2.0,7.79892656670592,3,1,False
31.0,5.0,True,pipes_found,4.0,PIPE_LM,8.967001539193955,3.0,2.0,8.085605493307105,4,2,True
32.0,3.0,True,pipes_found,3.0,PIPE_LM,9.62491441023215,2.5,2.0,9.423157555970816,2,1,False
33.0,2.0,True,pipes_found,3.0,PIPE_LM,8.492149943904073,2.2,1.0,7.477939323244393,5,3,False
34.0,2.0,True,pipes_found,3.0,PIPE_LM,9.750488525348302,2.25,2.0,8.148446710926004,12,4,False
35.0,3.0,True,pipes_found,3.0,PIPE_LM,7.293690679955311,2.5714285714285716,3.0,6.522930286884179,7,4,False
36.0,2.0,True,pipes_found,4.0,PIPE_LM,9.51135153538462,2.6666666666666665,3.0,6.847735524712624,6,3,False
37.0,3.0,True,pipes_found,3.0,PIPE_LM,7.161696741318339,2.6,3.0,7.161696741318339,5,3,False
38.0,3.0,True,pipes_found,4.0,PIPE_LM,8.519508342081076,4.0,4.0,8.519508342081076,1,1,False
40.0,3.0,True,pipes_found,4.0,PIPE_LM,8.32680268443432,3.3333333333333335,2.0,7.66934404690623,3,2,False
41.0,2.0,True,pipes_found,3.0,PIPE_LM,9.55891388724613,1.6666666666666667,1.0,5.6080475831417305,3,1,False
42.0,5.0,True,pipes_found,1.0,SPLY_LS,9.199037495156258,1.0,1.0,9.199037495156258,3,0,True
43.0,6.0,True,pipes_found,2.0,SPLY_LS,9.365222520197792,2.0,2.0,9.365222520197792,1,0,True
44.0,3.0,True,pipes_found,4.0,PIPE_LM,9.577814160712348,3.0,2.0,6.929302253986859,5,4,False
45.0,3.0,True,pipes_found,3.0,PIPE_LM,7.380644941695573,2.5,3.0,7.380644941695573,6,3,False
46.0,2.0,True,pipes_found,1.0,SPLY_LS,6.83844964860248,1.0,1.0,6.83844964860248,1,0,False
48.0,3.0,True,pipes_found,4.0,PIPE_LM,9.099464369769358,2.6666666666666665,2.0,7.410164281028897,6,4,False
49.0,5.0,True,pipes_found,3.0,PIPE_LM,9.528705700318676,2.4615384615384617,2.0,5.696795045683118,13,6,True
50.0,2.0,True,pipes_found,3.0,PIPE_LM,7.231148161574913,2.0,3.0,5.116627674469163,5,2,False
51.0,6.0,True,pipes_found,4.0,PIPE_LM,8.513404452634246,2.5714285714285716,1.0,4.85258639587094,7,4,True
52.0,3.0,True,pipes_found,4.0,PIPE_LM,6.05898623156892,3.0,4.0,6.05898623156892,3,2,False
53.0,4.0,True,pipes_found,4.0,PIPE_LM,7.9760874585567105,3.0,2.0,7.316671911166631,7,4,True
54.0,5.0,True,pipes_found,2.0,PIPE_LM,6.27184587916432,2.0,2.0,5.820459434320951,2,0,True
56.0,3.0,True,pipes_found,3.0,PIPE_LM,9.996415956924608,2.0,2.0,6.124951086031194,4,1,False
57.0,2.0,True,pipes_found,3.0,PIPE_LM,9.721371496597362,2.4,2.0,6.686253005725688,5,3,False
58.0,2.0,True,pipes_found,3.0,PIPE_LM,6.708910370022841,2.1666666666666665,3.0,6.708910370022841,6,2,False
59.0,3.0,True,pipes_found,3.0,PIPE_LM,9.802289364138547,2.0,1.0,5.579792849698194,3,1,False
60.0,2.0,True,pipes_found,4.0,PIPE_LM,7.834026103403173,2.75,4.0,5.623442640356019,8,4,False
61.0,2.0,True,pipes_found,3.0,PIPE_LM,8.918831805675275,2.6,2.0,4.611894154155369,5,3,False
62.0,3.0,True,pipes_found,3.0,SPLY_LS,8.469288218698823,3.0,3.0,8.469288218698823,1,1,False
63.0,2.0,True,pipes_found,3.0,PIPE_LM,9.346899250292353,2.5,2.0,7.35265838430168,2,1,False
