repair_id,복구타입,위도,경도,주소,작업일시,구군
203,지상누수,35.8952274,128.598819,"북구 연암공원로 49-1, 태왕감자탕 (산격동) / 1151-8번지",2010-08-02 11:56:00,북구
204,지상누수,35.8957788,128.6102073,북구 산격로14길 46-3 (산격동) / 1306-52번지,2010-08-02 19:44:00,북구
205,지상누수,35.8956008,128.6100887,북구 대학로25길 20-1 (산격동) / 1306-17번지,2010-03-30 13:00:00,북구
206,지상누수,35.8940868,128.6042889,북구 대구체육관로11길 31 (산격동) / 1426-10번지,2010-08-31 12:26:00,북구
207,지상누수,35.8913008,128.6057162,북구 대학로9길 5 (산격동) / 1418-28번지,2010-10-03 13:15:00,북구
208,지상누수,35.8929263,128.6060014,북구 대학로9길 22-1 (산격동) / 1412-8번지,2010-05-22 15:12:00,북구
209,지상누수,35.8938755,128.6048677,북구 산격로 35-2 (산격동) / 1425-32번지,2011-01-25 13:00:00,북구
210,지상누수,35.8930714,128.6079041,"북구 대학로13길 16-2, (2010.11.04 폐전) (산격동) / 1397-19번지",2010-11-11 21:00:00,북구
211,지상누수,35.8952274,128.598819,"북구 연암공원로 49-1, 태왕감자탕 (산격동) / 1151-8번지",2010-12-29 17:00:00,북구
212,지상누수,35.8923093,128.6083009,북구 대학로15길 2 (산격동) / 1399-4번지,2010-09-01 19:36:00,북구
213,지상누수,35.8952774,128.6101531,북구 대학로25길 17-6 (산격동) / 1307-59번지,2011-01-03 23:00:00,북구
214,지상누수,35.8921406,128.6034955,북구 대구체육관로8길 7 (산격동) / 1497-39번지,2010-11-16 15:00:00,북구
215,지상누수,35.8942895,128.6105837,북구 대학로23길 15-3 (산격동) / 1325-4번지,2010-07-06 13:36:00,북구
216,지상누수,35.894986,128.6116735,"북구 대학로 117, 코리안바베큐 (산격동) / 1277-13번지",2010-11-19 19:00:00,북구
217,지상누수,35.895862,128.6082629,북구 산격로14길 26-3 (산격동) / 1311-62번지,2011-01-26 14:30:00,북구
218,지상누수,35.8970059,128.6089159,북구 대동로4길 18 (산격동) / 1250-2번지,2010-11-27 23:00:00,북구
219,지상누수,35.8947789,128.6033482,"북구 산격로9길 17, 대성빌딩301호 (산격동) / 1428-2번지",2011-03-26 15:30:00,북구
220,지상누수,35.8924255,128.6048535,"북구 대구체육관로 52-2, 평창칼국수 (산격동) / 1433-37번지",2011-04-25 11:30:00,북구
221,지상누수,35.8950531,128.6048475,"북구 산격로9길 2, 류경하한의원 (산격동) / 1422-22번지",2011-04-29 18:30:00,북구
222,지상누수,35.894484,128.6087472,북구 산격동 1314-55,2011-03-03 13:30:00,북구
